"material_code","material_name","description","disabled","image"
"Q235B","Q235B 碳钢","最通用的碳素结构钢，塑性好，焊接性好，常用于角钢、槽钢、焊接件",0,""
"HT200","HT200 灰铸铁","抗拉强度 200MPa，常用于轴承座、皮带轮、减速机壳",0,""
"LZ-55","LZ-55高铝","表示 Al2O3 含量为 55% 的高铝耐火砖。",0,""
"LZ-65","LZ-65高铝","表示 Al2O3 含量为 65% 的高铝耐火砖。",0,""
"LZ-75","LZ-75 高铝","表示 Al2O3 含量为 75% 的高铝耐火砖。",0,""
"LZ-80","LZ-80 高铝","表示 Al2O3 含量 ≥ 80% 的高铝耐火砖。",0,""
"20#","20# 低碳钢","是中国国家标准 GB/T 699 中的优质碳素结构钢，其含碳量约为 0.20%，属于典型的低碳钢。它以优异的焊接性能、冷冲压性能和良好的塑韧性著称。",0,""
"WCB","WCB 铸钢","最常用的阀门及压力容器碳钢铸件。适用于非腐蚀性介质，在 -29°C 至 427°C 温度范围内表现稳定。具有良好的韧性、强度和焊接性，广泛用于石油、天然气及电力管道系统。",0,""
"Mn13Cr2","Mn13Cr2 高锰耐磨钢","又称 ZGMn13Cr2，通过在传统高锰钢基础上添加 2\% 的铬元素，使其在承受强烈冲击或挤压应力时表面迅速产生加工硬化，从而在保持优异中心韧性的同时获得极佳的表面耐磨性。",0,""
"35CrMo","35CrMo 合金钢","具有高淬透性和高热强性的中碳合金调质钢，常用于制造高负荷、大截面且需在高温或冲击环境下工作的关键机械零件。",0,""
"SAE F-50","SAE F-50 羊毛毡圈","超薄精密密封垫（厚度 < 3mm）。薄且坚硬。常用于微型滚珠轴承的防尘罩。",0,""
"SAE F-10","SAE F-10 羊毛毡圈","储油器、低压密封、空气过滤器。中软。密度较低，储油性能极佳，但不耐磨。",0,""
"SAE F-5","SAE F-5 羊毛毡圈","轴承润滑芯、防尘圈、油脂挡圈。中硬。回弹性好，适用于精密设备的油脂保持。",0,""
"SAE F-3","SAE F-3 羊毛毡圈","油封、衬垫、减震、精密润滑。硬。含毛量 ≥ 85%，性能接近 F-1 但成本略低。",0,""
"SAE F-1","SAE F-1 羊毛毡圈","用于高精度轴承密封、磨光、精密过滤。特硬。含毛量 ≥ 95%，密度极高，耐磨耐冲击。",0,""
"Q345R","Q345R 低合金钢板","屈服强度≥345 MPa，耐高温高压、抗冲击与焊接性能优异，广泛用于制造储罐、锅炉及石化装备",0,""
"BV","BV 铜芯聚氯乙烯绝缘单芯硬电线","单根铜导体，450/750 V 建筑固定布线最常用",0,""
"BVR","BVR 铜芯聚氯乙烯绝缘软电线","多股细铜丝，比 BV 更柔软，450/750 V 配电箱柜内弯折布线",0,""
"RVV","RVV  铜芯聚氯乙烯绝缘聚氯乙烯护套软电缆","俗称“护套线”，耐弯折，300/500 V 家电/工具移动电源线",0,""
"YJV22","YJV22 铜芯交联聚乙烯绝缘钢带铠装聚氯乙烯护套电力电缆","可直埋地下，抗压防鼠，0.6/1 kV 主干供电",0,""
"YJV","YJV 铜芯交联聚乙烯绝缘聚氯乙烯护套电力电缆","耐高温（90℃）、耐老化、电气性能优异，广泛用于城市电网和工业配电",0,""
"PU","PU 聚氨酯","虽然不是橡胶，但常用于油缸密封，极耐磨",0,""
"VMQ","VMQ 硅橡胶","耐温 -60℃ ~ 230℃，环保、高低温稳定，常用于电气柜密封条、仪器仪表密封",0,""
"CR","CR 氯丁橡胶","耐温 -40℃ ~ 100℃，抗疲劳、耐候，常用于三角带/V带、同步带、减震垫",0,""
"EPDM","EPDM 三元乙丙","耐温 -50℃ ~ 150℃，耐老化、耐水蒸汽，常用于冷却水管密封、户外露天橡胶件",0,""
"FKM","FKM 氟橡胶","耐温 -20℃ ~ 250℃，耐高温、耐腐蚀，常用于回转窑托轮轴承密封、高温风机密封",0,""
"NBR","NBR 丁腈橡胶","耐温 -30℃ ~ 100℃，耐油性好、耐磨，常用于减速机油封、液压缸密封、普通O型圈",0,""
"ZG270-500","ZG270-500 铸钢","铸造碳钢，常用于极大型齿轮、球磨机端盖",0,""
"QT450-10","QT450-10 球墨铸铁","强度 450 / 延伸 10%，常用于挖掘机底盘件、重载轴承座",0,""
"45#","45# 钢","优质碳素结构钢，综合力学性能好，机械加工最常用（轴类、齿轮）",0,""
"PTFE","PTFE 特氟龙","聚四氟乙烯（俗称特氟龙），耐高温，耐腐蚀，摩擦系数极低",0,""
"PA6","PA6 尼龙","尼龙，韧性好，耐疲劳，常用于垫块、滑轮",0,""
"POM","POM 赛钢","聚甲醛（俗称赛钢），硬度高，耐磨，自润滑，常用于做耐磨条、导轮",0,""
"T2","T2 紫铜","紫铜（红铜），导电导热性极佳，质软，用于电极、导电排",0,""
"H62","H62 黄铜","黄铜，切削性能好，导电性一般，常用于接头、螺柱",0,""
"7075","7075 航空铝","航空铝，强度极高（接近钢），但价格贵，焊接性差",0,""
"6061","6061 铝合金","镁铝硅合金，加工性能好，氧化效果好，自动化设备零件首选铝材",0,""
"5052","5052 铝合金","常用铝合金，强度中等，耐腐蚀，焊接性好，常用于钣金机箱",0,""
"201","201 不锈钢","节镍型不锈钢，价格低，易生锈，仅建议用于干燥室内环境",0,""
"316L","316L 不锈钢","含钼不锈钢，耐腐蚀性优于304，特别适合海边、化工、医疗环境",0,""
"304","304 不锈钢","奥氏体不锈钢（美标304/国标06Cr19Ni10），最通用的防腐材料，食品级",0,""
"42CrMo","42CrMo 合金钢","超高强度钢，韧性好，用于重载荷、大截面的重要结构件",0,""
"40Cr","40Cr 合金钢","合金结构钢，调质处理后性能极佳，用于高负荷零件（如高强螺栓、曲轴）",0,""
"Q355B","Q355B 低合金钢","低合金高强度结构钢（原Q345B），强度比Q235高，重型钢结构常用",0,""
