"name","description"
"长城润滑油","国产润滑油"
"起帆",""
"通用","通用无品牌"
"中意","用户数据"
"力得","用户数据"
"维特锐","用户数据"
"科莱沃","用户数据"
"海斯迪克","用户数据"
"三众过滤","用户数据"
"瀚工","用户数据"
"茵梦达","用户数据"
"虎王","用户数据"
"米客方德","用户数据"
"威图","机柜"
"霍夫曼","机柜"
"斑马","条码打印机"
"TSC","条码打印机"
"中核苏阀","阀门"
"纽威","工业阀门"
"阿姆斯壮","疏水阀"
"斯丕瑞莎克","蒸汽阀门"
"南方泵业","不锈钢泵"
"凯士比","工业泵"
"威乐","水泵"
"格兰富","水泵"
"合力","叉车"
"杭叉","叉车"
"林德","叉车"
"丰田","叉车/车"
"比亚迪","车辆"
"海尔","电器"
"美的","电器"
"格力","空调"
"兄弟","打印机"
"爱普生","投影仪"
"佳能","相机/打印机"
"震旦","复印机"
"齐心","办公用品"
"晨光","文具"
"得力","办公用品"
"大华","监控"
"海康威视","监控"
"新华三","交换机"
"小米","电子设备"
"华为","网络/手机"
"苹果","电子设备"
"惠普","打印机"
"戴尔","电脑"
"联想","电脑/服务器"
"安思尔","手套"
"代尔塔","劳保鞋/服"
"梅思安","安全帽/气体检测"
"大西洋","焊材"
"金桥","焊材"
"上海通用","焊材"
"佳士","焊机"
"瑞凌","逆变焊机"
"松下焊接","机器人/焊机"
"米勒","焊机"
"林肯电气","焊机"
"株钻","硬质合金"
"伊斯卡","刀具"
"肯纳","刀具"
"山特维克","刀具"
"威力","手工具"
"长城精工","卷尺"
"钢盾","手工具"
"捷科","手工具"
"世达","手工具"
"史丹利","手工具"
"喜利得","电锤"
"麦太保","角磨机"
"日立","电动工具"
"得伟","电动工具"
"牧田","电动工具"
"博世","电动工具"
"派克密封","O型圈"
"麦克","密封"
"特瑞堡","密封圈"
"NOK","油封"
"鹏驰","高强螺栓"
"奥展","不锈钢紧固件"
"东明","不锈钢紧固件"
"晋亿","螺栓"
"伍尔特","紧固件、MRO"
"贺德克","蓄能器、传感器"
"黎明液压","过滤器"
"太重榆次","液压件"
"北京华德","国产液压阀"
"气立可","气动"
"小金井","气动"
"CKD","气动"
"诺冠","气动"
"亚德客","气缸、电磁阀"
"费斯托","高端气动"
"SMC","气动元件"
"油研","液压阀"
"阿托斯","比例阀"
"哈威","高压液压"
"威格士","叶片泵"
"伊顿","液压"
"派克","液压软管、接头"
"博世力士乐","液压阀泵"
"三力士","三角带"
"欧皮特","皮带"
"盖茨","皮带"
"银泰","PMI导轨"
"THK","导轨"
"上银","导轨丝杆"
"杰牌","减速机"
"通力","电梯/部件"
"国茂","国产减速机"
"邦飞利","减速机"
"住友","减速机"
"诺德","减速机"
"SEW","减速机"
"洛轴","转盘轴承"
"哈轴","电机轴承"
"瓦轴","重型轴承"
"万向","汽车零部件"
"人本","国产轴承"
"光洋","轴承"
"铁姆肯","圆锥滚子轴承"
"NTN","轴承"
"FAG","轴承"
"NSK","轴承"
"SKF","轴承"
"威纶通","触摸屏"
"昆仑通态","触摸屏"
"信捷","小型PLC"
"英威腾","变频器"
"汇川技术","变频器、伺服"
"金升阳","电源模块"
"普尔世","高端电源"
"明纬","开关电源"
"霍尼韦尔","微动开关、传感器"
"奥托尼克斯","温控器"
"邦纳","光电开关"
"倍加福","安全栅、传感器"
"巴鲁夫","位移传感器"
"易福门","流体传感器"
"图尔克","接近开关"
"希克斯","传感器"
"基恩士","传感器、视觉"
"万可","弹簧端子"
"魏德米勒","接线端子"
"菲尼克斯","端子、电源"
"公牛","插座、开关"
"良信","高端低压电器"
"人民电器","电气元件"
"天正电气","低压电器"
"德力西","低压电器"
"正泰","低压电器"
"台达","变频器、电源"
"LS产电","低压电器"
"富士电机","接触器、变频器"
"罗克韦尔","AB PLC"
"三菱电机","PLC、伺服"
"欧姆龙","传感器、继电器、PLC"
"ABB","变频器、接触器、机器人"
"西门子","PLC、电机、变频器"
"施耐德","低压电气、PLC"
"回天","工程胶粘剂"
"西卡","密封胶"
"3M","胶带、研磨、劳保"
"乐泰","螺纹胶"
"汉高","胶粘剂、表面处理"
"昆仑润滑","液压油"
"克鲁勃","特种润滑"
"道达尔","润滑油"
"嘉实多","切削液"
"美孚","润滑油"
"壳牌","润滑油"
"海虹老人","船舶与重防腐"
"PPG","防护涂料"
"宣伟","涂料"
"阿克苏诺贝尔","粉末涂料"
"佐敦","防腐涂料"
"立邦","工业涂料"
"鲁阳","保温棉、耐火材料"
"瑞乃尔","耐磨材料"
"忠旺","工业铝型材"
"兴发铝业","建筑铝型材"
"南山铝业","铝型材"
"中国铝业","铝材"
"青山控股","不锈钢"
"中信泰富特钢","优特钢"
"华菱钢铁","管材、宽厚板"
"本钢","板材"
"太钢","不锈钢"
"马钢","H型钢"
"沙钢","建筑钢材"
"首钢","板材"
"鞍钢","板材、管材"
"宝武钢铁","板材、型材"
"欣灵",""
"威客",""
"乐清牛时",""
"以伯",""
