"standard_code","standard_name","revision_year","reference_standard","standard_type","status","description","attachment"
"GB/T 5783","六角头螺栓-全螺纹 (A/B级 粗牙)","2016","","Product Standard","Current","",""
"GB/T 983","不锈钢棒焊条","2012","","Product Standard","Current","本标准规定了不锈钢电弧焊焊条的分类、技术要求、试验方法、检验规则、包装、标志及质量证明书。本标准等效采用 AWS A5.4 标准，适用于铬含量大于 10.5%、铁含量超过其他任何元素的各类不锈钢覆盖棒状电焊条。",""
"GB/T 5117","非合金钢及细晶粒钢焊条","2012","","Product Standard","Current","",""
"GB/T 5780","六角头螺栓-半螺纹 (C级 粗制)","2016","","Product Standard","Current","",""
"DIN 933 (不锈钢)","六角头螺栓-全螺纹 (德标不锈钢常用)","2000","","Product Standard","Current","",""
"GB/T 5783 (不锈钢)","六角头螺栓-全螺纹 (不锈钢 A2/A4)","2000","","Product Standard","Current","",""
"GB/T 1804","一般公差-未注公差的线性和角度尺寸公差","2000","","Dimension Standard","Current","",""
"GB/T 17395","无缝钢管尺寸、外形、重量及允许偏差","2008","","Dimension Standard","Current","",""
"GB/T 709","热轧钢板和钢带的尺寸、外形及允许偏差","2019","","Dimension Standard","Current","",""
"GB/T 4237","不锈钢热轧钢板和钢带 (表面粗糙/厚板)","2015","","Material Standard","Current","",""
"GB/T 3280","不锈钢冷轧钢板和钢带 (表面光洁/薄板)","2015","","Material Standard","Current","",""
"GB/T 3077","合金结构钢 (40Cr/42CrMo等)","2015","","Material Standard","Current","",""
"GB/T 699","优质碳素结构钢 (45号钢/圆钢)","2015","","Material Standard","Current","",""
"GB/T 1591","低合金高强度结构钢 (Q355/锰钢)","2018","","Material Standard","Current","",""
"GB/T 700","碳素结构钢 (Q235系列)","2006","","Material Standard","Current","",""
"GB/T 119.1","圆柱销 (不淬硬钢)","2000","","Product Standard","Current","",""
"GB/T 1096","普通平键 (需区分A/B/C型)","2003","","Product Standard","Current","",""
"GB/T 893.1","孔用弹性挡圈 (A型/内卡)","2017","","Product Standard","Current","",""
"GB/T 894.1","轴用弹性挡圈 (A型/外卡)","2017","","Product Standard","Current","",""
"GB/T 93","标准型弹簧垫圈","1987","","Product Standard","Current","",""
"GB/T 96.1","大垫圈-A级 (宽边/木材塑料用)","2002","","Product Standard","Current","",""
"GB/T 97.1","平垫圈-A级 (标准型)","2002","","Product Standard","Current","",""
"GB/T 889.1","1型非金属嵌件六角锁紧螺母 (尼龙防松)","2016","","Product Standard","Current","",""
"GB/T 6175","2型六角螺母 (加厚型)","2016","","Product Standard","Current","",""
"GB/T 6171","1型六角螺母 (A/B级 细牙)","2016","","Product Standard","Current","",""
"GB/T 6170","1型六角螺母 (A/B级 标准型 粗牙)","2015","","Product Standard","Current","",""
"GB/T 77","内六角平端紧定螺钉 (机米螺丝)","2007","","Product Standard","Current","",""
"GB/T 818","十字槽盘头螺钉 (机螺钉)","2016","","Product Standard","Current","",""
"GB/T 16674.1","六角法兰面螺栓 (小系列/全螺纹)","2016","","Product Standard","Current","",""
"GB/T 70.3","内六角沉头螺钉 (平杯)","2008","","Product Standard","Current","",""
"GB/T 70.2","内六角平圆头螺钉 (圆杯)","2008","","Product Standard","Current","",""
"GB/T 70.1","内六角圆柱头螺钉 (杯头)","2008","","Product Standard","Current","",""
"GB/T 5781","六角头螺栓-全螺纹 (C级 粗制)","2016","","Product Standard","Current","",""
"GB/T 5785","六角头螺栓-半螺纹 (A/B级 细牙)","2016","","Product Standard","Current","",""
"GB/T 5786","六角头螺栓-全螺纹 (A/B级 细牙)","2016","","Product Standard","Current","",""
"GB/T 5782","六角头螺栓-半螺纹 (A/B级 粗牙)","2016","","Product Standard","Current","",""
