"item_group_name","parent_item_group","custom_description","custom_standard_tax_rate","custom_code","is_group","image"
"停用/废弃物料组","All Item Groups","存放已停用或计划删除的物料组。**严禁新建物料或进行任何交易。**",0.0,"0000",1,""
"外购配套件","All Item Groups","按个/套计量，直接用于装配的成品物资",13.0,"2000",1,""
"电气元件","外购配套件","高价值，需防盗和序列号管理",13.0,"2010",1,""
"控制与自动化","电气元件","PLC、HMI、传感器、仪表。**【启用序列号管理】**",13.0,"2011",0,""
"动力与传动","电气元件","电机、变频器、软启动、接触器",13.0,"2012",0,""
"电气辅材","电气元件","断路器、继电器、接线端子、按钮指示灯",13.0,"2013",0,""
"成套辅材","电气元件","线槽、导轨、铜排、线号管。价值低但用量大。",13.0,"2014",0,""
"外购结构件","外购配套件","外购的柜体及附件",13.0,"2020",1,""
"箱体与柜体","外购结构件","非标定制的主柜体、操作台（建议一物一码）",13.0,"2021",0,""
"柜体附件","外购结构件","机柜风扇、滤网、文件架、PDU、导轨",13.0,"2022",0,""
"机械标准件","外购配套件","通用机械零部件",13.0,"2030",1,""
"密封件","机械标准件","O型圈、油封、密封垫片（标准成品）",13.0,"2033",0,""
"液压气动","机械标准件","液压站组件、泵、阀、气缸、油管接头",13.0,"2032",1,""
"紧固件","机械标准件","通用碳钢螺栓、螺母、垫圈。(按数量/重量计价)。",13.0,"2034",1,""
"传动部件","机械标准件","轴承、减速机、联轴器、皮带轮",13.0,"2031",0,""
"委外加工件","外购配套件","外包简单的加工服务和零部件",13.0,"2040",1,""
"工程与设计件","外购配套件","用于存放具有独立图纸号的非标定制件或模具。",13.0,"2050",1,""
"制造产品","All Item Groups","公司内部生产或组装的产品",13.0,"3000",1,""
"自制半成品","制造产品","有独立图号的中间件",13.0,"3010",1,""
"铆焊结构件","自制半成品","筒体、底座、支架、溜槽等。**【自制半成品、BOM子项、按图号管理】**",13.0,"3011",0,""
"电气成套柜","自制半成品","动力柜、控制柜、PLC柜（BOM父项）",13.0,"3012",0,""
"机加工件","自制半成品","精加工轴、小齿轮、滚圈、端盖。**【自制半成品、BOM子项】**",13.0,"3013",0,""
"产成品","制造产品","最终交付给客户的设备",13.0,"3020",1,""
"回转窑系列","产成品","不同规格的回转窑整机",13.0,"3021",0,""
"球磨机系列","产成品","不同规格的球磨机整机",13.0,"3022",0,""
"烘干机系列","产成品","不同规格的烘干机整机",13.0,"3023",0,""
"主机配套设备","产成品","稀油站、燃烧器、除尘器",13.0,"3023",0,""
"备品备件","制造产品","用于出售给客户作为售后服务的易损件/消耗品包。",13.0,"3030",0,""
"服务与费用","All Item Groups","无库存项目，用于成本归集",0.0,"5000",1,""
"设计与咨询","服务与费用","技术服务费、设计费",6.0,"5010",0,""
"安装调试","服务与费用","现场安装费、调试费",9.0,"5020",0,""
"物流运输","服务与费用","运费、吊装费",9.0,"5030",0,""
"委外加工服务","服务与费用","委外加工中产生的工序服务费用（热处理、喷漆等）。",13.0,"5041",0,""
"废料与回收","All Item Groups","用于处理废品变卖",0.0,"7000",1,""
"废钢","废料与回收","无法回用的铁屑、板头、废料",0.0,"7010",0,""
"固定资产","All Item Groups","公司长期持有的、需折旧的资产",0.0,"6000",1,""
"生产设备","固定资产","车床、铣床、焊接机器人",0.0,"6010",0,""
"电子设备","固定资产","电脑、服务器、打印机",0.0,"6020",0,""
"办公家具","固定资产","老板桌、会议桌、空调",0.0,"6030",0,""
"交通运输设备","固定资产","公司轿车、货车、叉车",0.0,"6040",0,""
"土地与建筑","固定资产","厂房、土地使用权",0.0,"6050",0,""
"基础材料","All Item Groups","原“原材料”，需加工或作为基础素材的物资",13.0,"1000",1,""
"MRO与工具","All Item Groups","非BOM物资，计入制造费用",13.0,"4000",1,""
"五金工具","MRO与工具","扳手、钳子、卷尺、千斤顶",13.0,"4040",0,""
"非标液压管件","液压气动","定制长度或弯曲的液压管、接头总成。用于BOM。",13.0,"2039",0,""
"紧固件（高强/特殊）","紧固件","高强度、不锈钢或防松螺栓。**【关键件，启用批次】**",13.0,"2035",0,""
"钢材类","基础材料","核心黑色金属材料，建议启用批次管理",13.0,"1010",1,""
"管材","钢材类","无缝管、焊管、流体管",13.0,"1013",0,""
"铸锻件毛坯","钢材类","轮带、托轮、大齿圈毛坯（按重量计价）。**【高价值、建议启用序列号或批次】**",13.0,"1014",0,""
"钢格板与网材","钢材类","平台踏板、钢格栅、不锈钢滤网",13.0,"1015",0,""
"型材","钢材类","角钢、槽钢、H型钢、工字钢",13.0,"1012",0,""
"板材","钢材类","中厚板、薄板、耐磨钢板。**【启用批次管理】**",13.0,"1011",0,""
"有色金属材料","基础材料","铜、铝、钛等有色金属及其合金材料",13.0,"1050",1,""
"铝合金型材","有色金属材料","铝板、铝棒、铝型材。(按重量计价：Kg)。**【启用批次管理】**",13.0,"1051",0,""
"非金属材料","基础材料","橡胶、塑料、绝缘材料等固体素材",13.0,"1020",1,""
"橡胶制品","非金属材料","进料口挡板、减震垫、橡胶皮（按张/公斤）",13.0,"1021",0,""
"工程塑料","非金属材料","尼龙棒、四氟板、聚氨酯衬板",13.0,"1022",0,""
"保温与绝缘","非金属材料","硅酸铝纤维、石棉板、电柜绝缘纸",13.0,"1023",0,""
"耐火材料","基础材料","【行业专用】回转窑/球磨机内衬材料",13.0,"1030",1,""
"耐火砖","耐火材料","高铝砖、镁铝尖晶石砖、粘土砖",13.0,"1031",0,""
"浇注料与胶泥","耐火材料","耐火浇注料、耐火泥、高温胶",13.0,"1032",0,""
"化工与辅料","基础材料","液体或膏状化学品",13.0,"1040",1,""
"油漆涂料","化工与辅料","底漆、面漆、稀释剂、固化剂（危化品）。**【注意有效期管理】**",13.0,"1041",0,""
"润滑油脂","化工与辅料","齿轮油、液压油、润滑脂（出厂加注）",13.0,"1042",0,""
"化学试剂与胶","化工与辅料","螺纹锁固剂、密封胶、清洗剂",13.0,"1043",0,""
"研磨介质","基础材料","",13.0,"1060",1,""
