"surface_name","description","disabled","image"
"镀锌","",0,""
"发黑","默认状态，无任何表面处理，表面有油",0,""
"氧化发黑","低成本，防锈能力差，仅用于室内或临时防锈",0,""
"喷砂","利用钢丸喷打，去除氧化皮，表面呈哑光磨砂状",0,""
"静电喷塑","钣金件常用，颜色多样，表面有一定厚度",0,""
"硬质氧化","铝合金专用，表面硬度极高，耐磨，通常为深灰色",0,""
"阳极氧化","铝合金专用，增加耐腐蚀和硬度，本色或黑色",0,""
"酸洗钝化","不锈钢专用，清除杂质并形成氧化膜，保持金属本色",0,""
"镀镍","表面银亮微黄，导电性好，抗氧化，常用于电子连接件",0,""
"镀铬","表面光亮，硬度高，耐磨性好，用于轴类或装饰件",0,""
"达克罗","高防腐，无氢脆风险，适合高强度螺栓 (10.9级以上推荐)",0,""
"热浸锌","俗称热镀锌，锌层厚，表面粗糙，用于户外长期防腐 (GB/T 13912)",0,""
"电镀黑锌","黑色，用于需要隐藏或黑色外观的场合，防锈一般",0,""
"电镀彩锌","金黄色，防锈能力略优于白锌，常见于老式设备",0,""
"电镀白锌","最常见的表面处理，银白色，防锈能力中等",0,""
